fractionation
5.008967744
6.895398703
7.881931922
8.466545064
9.482397579
10.98545548
12.56919158
13.77465887
14.28340222
15.89600149
16.76542913
13.19413093
5.914221219
5.101580135
4.627539503
4.791594149
4.93890779
7.788010988
7.982078469
8.076024083
8.518813974
9.652051089
10.37550382
11.1761368
11.62685754
15.6566343
16.11354846
16.87325599
16.98264033
19.70920085
20.51165235
20.97694131
