CalibBP,F14C,sigma
1895,0.783981,0.00117027
1900,0.782713,0.00116837
1905,0.781739,0.00106974
1910,0.782323,0.00126503
1915,0.783298,0.0012666
1920,0.782908,0.00126597
1925,0.781836,0.00126424
1930,0.780767,0.00126251
1935,0.780184,0.0011646
1940,0.780281,0.00116474
1945,0.780184,0.00106761
1950,0.778437,0.00116199
1955,0.777275,0.00116026
1960,0.77834,0.00116185
1965,0.778922,0.00116271
1970,0.778244,0.00125843
1975,0.777856,0.00116112
1980,0.77834,0.00106509
1985,0.77834,0.000968326
1990,0.776888,0.00115968
1995,0.775246,0.00115723
2000,0.773896,0.00115521
2005,0.772645,0.0010573
2010,0.771972,0.00115234
2015,0.771876,0.0011522
2020,0.772068,0.00124845
2025,0.772548,0.00124922
2030,0.773126,0.00125016
2035,0.772933,0.00115378
2040,0.771972,0.00124829
2045,0.771299,0.0012472
2050,0.771203,0.00124705
2055,0.770915,0.00115076
2060,0.770436,0.00124581
2065,0.769765,0.00114904
2070,0.769094,0.00124364
2075,0.768903,0.00114776
2080,0.769477,0.00124426
2085,0.770052,0.00124519
2090,0.77034,0.00124565
2095,0.770436,0.00124581
2100,0.770244,0.00143693
2105,0.769956,0.0014364
2110,0.769477,0.00133989
2115,0.768711,0.00124302
2120,0.767564,0.00133655
2125,0.766609,0.00133489
2130,0.766132,0.00133406
2135,0.765846,0.00133356
2140,0.765846,0.00123838
2145,0.765179,0.0011422
2150,0.763656,0.00123484
2155,0.761662,0.00123162
2160,0.759863,0.00122871
2165,0.759012,0.00103864
2170,0.759863,0.00122871
2175,0.760336,0.00122948
2180,0.759107,0.00122749
2185,0.757785,0.00113116
2190,0.75769,0.0012252
2195,0.757973,0.00122565
2200,0.758162,0.00132018
2205,0.757973,0.00141404
2210,0.757125,0.00141246
2215,0.756559,0.00131739
2220,0.756936,0.00131805
2225,0.757502,0.00122489
2230,0.757785,0.00131953
2235,0.758257,0.00132035
2240,0.759012,0.00122733
2245,0.759768,0.00113412
2250,0.760241,0.00122932
2255,0.760431,0.00132413
2260,0.76062,0.00132446
2265,0.760999,0.00132512
2270,0.761757,0.00132644
2275,0.762421,0.00123285
2280,0.762706,0.00132809
2285,0.762611,0.00132793
2290,0.762516,0.00132776
2295,0.761757,0.00123177
2300,0.760147,0.00122917
2305,0.758257,0.00113187
2310,0.756371,0.00112905
2315,0.755148,0.00103336
2320,0.754584,0.00112638
2325,0.754209,0.00112582
2330,0.75327,0.00112442
2335,0.752239,0.00112288
2340,0.751117,0.00112121
2345,0.749435,0.0011187
2350,0.746735,0.00111467
2355,0.744044,0.00101816
2360,0.741732,0.0011072
2365,0.74044,0.0011973
2370,0.74044,0.00110527
2375,0.740625,0.00101348
2380,0.740164,0.00110486
2385,0.739795,0.00110431
2390,0.739979,0.00119656
2395,0.740256,0.001105
2400,0.740256,0.00119701
2405,0.740164,0.00110486
2410,0.740164,0.00119686
2415,0.740256,0.001105
2420,0.740256,0.001105
2425,0.740164,0.00101285
2430,0.739979,0.00110458
2435,0.739703,0.00110417
2440,0.739335,0.00110362
2445,0.739151,0.00101146
2450,0.739427,0.00110376
2455,0.739519,0.00101197
2460,0.738967,0.00110307
2465,0.738323,0.00101033
2470,0.738048,0.0011017
2475,0.737956,0.00100983
2480,0.738323,0.00110211
2485,0.738048,0.00100995
2490,0.736671,0.00109965
2495,0.735205,0.00100606
2500,0.73429,0.00109609
2505,0.733833,0.00109541
2510,0.733651,0.00109514
2515,0.733559,0.00100381
2520,0.733377,0.00109473
2525,0.733377,0.00109473
2530,0.733833,0.00109541
2535,0.733925,0.00100431
2540,0.733194,0.00109446
2545,0.732373,0.00109323
2550,0.7321,0.00109282
2555,0.732282,0.000911025
2560,0.732829,0.00100281
2565,0.733285,0.000912273
2570,0.733285,0.00100344
2575,0.733103,0.000912046
2580,0.73292,0.00100294
2585,0.733103,0.000912046
2590,0.733742,0.00100406
2595,0.734656,0.000913978
2600,0.736029,0.00100719
2605,0.736671,0.000824888
2610,0.735571,0.00100657
2615,0.733925,0.000821813
2620,0.732191,0.00100194
2625,0.731553,0.000910118
2630,0.732647,0.00100256
2635,0.734199,0.00082212
2640,0.735937,0.00100707
2645,0.736946,0.00100845
2650,0.736946,0.00110006
2655,0.736579,0.00100795
2660,0.736396,0.00109923
2665,0.736487,0.00109937
2670,0.736854,0.00100832
2675,0.736854,0.000916713
2680,0.735846,0.00100694
2685,0.73493,0.00100569
2690,0.734564,0.0010965
2695,0.734107,0.00100456
2700,0.733103,0.00100319
2705,0.732191,0.00100194
2710,0.731735,0.00109228
2715,0.730916,0.0010002
2720,0.729461,0.00108888
2725,0.728282,0.000996591
2730,0.727919,0.00108658
2735,0.727557,0.000905147
2740,0.7262,0.000993742
2745,0.724033,0.000990777
2750,0.721694,0.00107729
2755,0.719541,0.00098463
2760,0.717841,0.00107154
2765,0.716769,0.00106994
2770,0.716145,0.00106901
2775,0.71561,0.000979251
2780,0.71472,0.00115571
2785,0.713653,0.00106529
2790,0.712854,0.000975479
2795,0.712056,0.000974387
2800,0.711613,0.00115069
2805,0.711524,0.00132739
2810,0.711435,0.00132722
2815,0.711524,0.00123897
2820,0.711613,0.00132755
2825,0.711878,0.00132805
2830,0.712322,0.00132888
2835,0.712499,0.00132921
2840,0.712144,0.00132854
2845,0.711258,0.00132689
2850,0.710197,0.00132491
2855,0.709137,0.00123481
2860,0.708431,0.00123359
2865,0.707814,0.00132047
2870,0.707109,0.00131915
2875,0.706405,0.00131784
2880,0.705702,0.00131653
2885,0.705175,0.00122792
2890,0.704561,0.00122685
2895,0.704035,0.00113844
2900,0.704035,0.00122593
2905,0.704473,0.00122669
2910,0.705351,0.00122822
2915,0.705966,0.00122929
2920,0.705175,0.00114028
2925,0.703947,0.00113829
2930,0.703422,0.00122486
2935,0.703509,0.00122502
2940,0.703597,0.00122517
2945,0.703422,0.00122486
2950,0.702809,0.0012238
2955,0.701847,0.0011349
2960,0.700974,0.00113349
2965,0.700102,0.00113208
2970,0.699666,0.00121832
2975,0.699405,0.00121787
2980,0.699318,0.00121772
2985,0.699318,0.00121772
2990,0.699318,0.00130462
2995,0.69897,0.00121711
3000,0.6981,0.0012156
3005,0.697058,0.00121378
3010,0.696798,0.00121333
3015,0.697058,0.00121378
3020,0.697058,0.00121378
3025,0.696971,0.00121363
3030,0.696971,0.00130024
3035,0.696885,0.00121348
3040,0.696624,0.00121303
3045,0.696538,0.00112631
3050,0.696885,0.00112687
3055,0.696971,0.00112701
3060,0.696451,0.00103961
3065,0.695411,0.000951611
3070,0.694633,0.000950545
3075,0.693855,0.000949481
3080,0.692474,0.00103367
3085,0.691269,0.000945942
3090,0.691785,0.000946649
3095,0.693251,0.000948654
3100,0.693682,0.000949245
3105,0.693337,0.000948772
3110,0.692647,0.00112002
3115,0.692388,0.00120565
3120,0.692388,0.00129169
3125,0.692561,0.00129201
3130,0.693164,0.00137926
3135,0.69351,0.00129378
3140,0.692647,0.00129217
3145,0.691613,0.00129024
3150,0.691613,0.00129024
3155,0.691785,0.00129056
3160,0.690752,0.00111696
3165,0.689893,0.000944059
3170,0.689121,0.000943002
3175,0.688435,0.000942064
3180,0.688092,0.000941595
3185,0.687236,0.000940423
3190,0.687321,0.00094054
3195,0.687749,0.000941126
3200,0.688092,0.000941595
3205,0.688178,0.000856155
3210,0.686979,0.000940072
3215,0.685868,0.000938552
3220,0.685698,0.000938318
3225,0.685612,0.000938202
3230,0.685015,0.000852221
3235,0.684418,0.000851478
3240,0.684078,0.000936102
3245,0.683907,0.000935869
3250,0.683312,0.000935053
3255,0.682207,0.000933541
3260,0.681613,0.000847988
3265,0.681613,0.000847988
3270,0.681019,0.000931916
3275,0.680256,0.000930872
3280,0.680002,0.000930525
3285,0.68068,0.000931452
3290,0.681952,0.000933193
3295,0.682716,0.00101911
3300,0.682972,0.00101949
3305,0.683227,0.00110479
3310,0.683907,0.00127587
3315,0.684163,0.00127634
3320,0.683652,0.00127539
3325,0.682716,0.00127365
3330,0.682122,0.00127254
3335,0.681528,0.00118674
3340,0.680765,0.00118541
3345,0.679918,0.00109944
3350,0.679579,0.00118335
3355,0.679156,0.00118261
3360,0.678142,0.00118084
3365,0.676877,0.00117864
3370,0.676204,0.0012615
3375,0.675783,0.00126071
3380,0.674774,0.00117498
3385,0.673683,0.00108936
3390,0.673096,0.00108841
3395,0.672677,0.00108773
3400,0.672008,0.00108665
3405,0.671255,0.001002
3410,0.670754,0.00108462
3415,0.67042,0.00108408
3420,0.670504,0.00108421
3425,0.670921,0.00108489
3430,0.67159,0.0010025
3435,0.672175,0.000919814
3440,0.671924,0.000835934
3445,0.670754,0.000834479
3450,0.66892,0.000832196
3455,0.667589,0.000830541
3460,0.666758,0.000829507
3465,0.666675,0.000829404
3470,0.666343,0.000828991
3475,0.666343,0.000828991
3480,0.664935,0.000909906
3485,0.663777,0.000743265
3490,0.664273,0.00074382
3495,0.663777,0.000743265
3500,0.663611,0.00074308
3505,0.664025,0.000826107
3510,0.663529,0.000907982
3515,0.662951,0.000824771
3520,0.662951,0.000824771
3525,0.663116,0.000824976
3530,0.663446,0.000825387
3535,0.664355,0.000743913
3540,0.665266,0.000827651
3545,0.664769,0.000744376
3550,0.664107,0.000826209
3555,0.663859,0.000743357
3560,0.662868,0.000824668
3565,0.661385,0.000822822
3570,0.660726,0.000822003
3575,0.65974,0.000820776
3580,0.659001,0.000901787
3585,0.658755,0.000819551
3590,0.658181,0.000900665
3595,0.657772,0.000818328
3600,0.657854,0.000900217
3605,0.658018,0.000818633
3610,0.657444,0.000981382
3615,0.656627,0.000898537
3620,0.656545,0.000980039
3625,0.65679,0.000898761
3630,0.65679,0.000980405
3635,0.656136,0.000897866
3640,0.654749,0.000977359
3645,0.653284,0.000893963
3650,0.652146,0.000973473
3655,0.65174,0.00105387
3660,0.652552,0.00113628
3665,0.65369,0.0012195
3670,0.654423,0.00122086
3675,0.654668,0.00122132
3680,0.654342,0.0011394
3685,0.653609,0.00121934
3690,0.652471,0.00121722
3695,0.651254,0.00121495
3700,0.650201,0.00113219
3705,0.649553,0.00113106
3710,0.649473,0.00113092
3715,0.649392,0.00113078
3720,0.648745,0.00112966
3725,0.647696,0.00104734
3730,0.64681,0.00112629
3735,0.646166,0.00104486
3740,0.646247,0.00104499
3745,0.646729,0.00104577
3750,0.647454,0.00112741
3755,0.647938,0.00104773
3760,0.647696,0.00112783
3765,0.647132,0.00112685
3770,0.646729,0.00112615
3775,0.646488,0.00120606
3780,0.646005,0.00120516
3785,0.645844,0.00120486
3790,0.646729,0.00120651
3795,0.647858,0.00120861
3800,0.648584,0.00120997
3805,0.648826,0.00121042
3810,0.648665,0.00121012
3815,0.648261,0.00120937
3820,0.647616,0.00112769
3825,0.64681,0.0010459
3830,0.645443,0.0011239
3835,0.643998,0.00112139
3840,0.642957,0.00119947
3845,0.642237,0.00119813
3850,0.641917,0.00119753
3855,0.641757,0.00119723
3860,0.641597,0.00119694
3865,0.641358,0.00119649
3870,0.640959,0.00119574
3875,0.64056,0.0011154
3880,0.640321,0.00103541
3885,0.640241,0.000637293
3890,0.639604,0.000954751
3895,0.638967,0.00103322
3900,0.63841,0.00103232
3905,0.637854,0.000872849
3910,0.637616,0.00111028
3915,0.637378,0.00103065
3920,0.637378,0.00103065
3925,0.63714,0.000871872
3930,0.635952,0.000949299
3935,0.635319,0.00110628
3940,0.635556,0.00110669
3945,0.63611,0.000949536
3950,0.636982,0.00110917
3955,0.637299,0.00095131
3960,0.636823,0.00102975
3965,0.63611,0.000949536
3970,0.635635,0.00110683
3975,0.634923,0.000947764
3980,0.633897,0.00102502
3985,0.632635,0.000865707
3990,0.631769,0.00102158
3995,0.631062,0.000942001
4000,0.630591,0.00101968
4005,0.630512,0.000784414
4010,0.630042,0.00101879
4015,0.62965,0.00101815
4020,0.629806,0.00101841
4025,0.629728,0.000783439
4030,0.63012,0.00101891
4035,0.630669,0.000941415
4040,0.631455,0.000942587
4045,0.631927,0.00102184
4050,0.632556,0.00110147
4055,0.632793,0.000944584
4060,0.632714,0.00102311
4065,0.632242,0.000943761
4070,0.631691,0.00102145
4075,0.631298,0.00102082
4080,0.630591,0.00109804
4085,0.629414,0.00101777
4090,0.627771,0.00101512
4095,0.626522,0.000857342
4100,0.625898,0.000856488
4105,0.62512,0.000777706
4110,0.625665,0.000933944
4115,0.625976,0.000934409
4120,0.626522,0.0010131
4125,0.626912,0.000857876
4130,0.627615,0.000858837
4135,0.627849,0.000781101
4140,0.627537,0.00085873
4145,0.626444,0.000857235
4150,0.624886,0.00101045
4155,0.623255,0.000930347
4160,0.622092,0.00100593
4165,0.621473,0.000850432
4170,0.62217,0.000851386
4175,0.622635,0.000929421
4180,0.621782,0.000850856
4185,0.621086,0.000772687
4190,0.621241,0.00092734
4195,0.621086,0.000849903
4200,0.62217,0.00100606
4205,0.622712,0.000852128
4210,0.62341,0.00100806
4215,0.62341,0.00100806
4220,0.6231,0.001085
4225,0.622402,0.00100643
4230,0.621705,0.000928033
4235,0.621164,0.000927225
4240,0.620005,0.000848423
4245,0.619079,0.000847157
4250,0.618386,0.000923079
4255,0.618386,0.00099994
4260,0.617847,0.000922275
4265,0.618001,0.000999318
4270,0.618001,0.000922505
4275,0.618617,0.000846524
4280,0.618694,0.000923539
4285,0.618232,0.000922849
4290,0.617694,0.000922045
4295,0.617002,0.000997702
4300,0.615698,0.000919066
4305,0.615698,0.000995593
4310,0.615698,0.000995593
4315,0.615774,0.000995717
4320,0.615544,0.00084232
4325,0.615774,0.000995717
4330,0.616465,0.000920211
4335,0.617079,0.000997826
4340,0.617002,0.000921013
4345,0.617002,0.00107438
4350,0.616541,0.00107358
4355,0.615851,0.000919295
4360,0.615314,0.000918494
4365,0.615391,0.000918608
4370,0.616234,0.000919867
4375,0.616618,0.00092044
4380,0.616465,0.000843579
4385,0.616081,0.000843054
4390,0.616004,0.000919524
4395,0.616081,0.000919638
4400,0.616004,0.000996088
4405,0.615621,0.00114847
4410,0.614472,0.00114633
4415,0.612944,0.000991141
4420,0.61104,0.000912113
4425,0.609293,0.000985236
4430,0.608838,0.000908826
4435,0.608686,0.0009086
4440,0.607626,0.000907018
4445,0.606644,0.000980953
4450,0.605437,0.000903749
4455,0.604608,0.000902513
4460,0.604684,0.000827458
4465,0.605663,0.000904087
4470,0.606191,0.000904875
4475,0.606719,0.000830244
4480,0.606568,0.000830037
4485,0.607626,0.000907018
4490,0.608232,0.000832313
4495,0.608232,0.000907922
4500,0.607626,0.000907018
4505,0.607702,0.000907131
4510,0.607551,0.000906905
4515,0.606417,0.000905213
4520,0.604985,0.00082787
4525,0.603781,0.000901278
4530,0.602055,0.00082386
4535,0.601605,0.00089803
4540,0.601306,0.000822835
4545,0.60198,0.000898589
4550,0.601306,0.000897583
4555,0.601455,0.00104731
4560,0.60213,0.000898813
4565,0.602205,0.000973774
4570,0.601006,0.000897136
4575,0.600333,0.000896131
4580,0.599885,0.000820891
4585,0.599139,0.000894348
4590,0.598692,0.00089368
4595,0.59899,0.00104302
4600,0.599437,0.000969299
4605,0.599736,0.000969782
4610,0.599213,0.000894459
4615,0.598692,0.00089368
4620,0.598393,0.000893235
4625,0.597872,0.000892457
4630,0.597351,0.00089168
4635,0.597426,0.000891791
4640,0.597649,0.000892124
4645,0.597203,0.000965686
4650,0.596311,0.000890127
4655,0.595569,0.000814986
4660,0.595199,0.000814479
4665,0.595125,0.000888356
4670,0.596163,0.000964005
4675,0.597203,0.000965686
4680,0.5975,0.000817628
4685,0.597575,0.000892013
4690,0.597426,0.000966047
4695,0.597054,0.000965446
4700,0.596386,0.000890238
4705,0.595792,0.000963405
4710,0.594903,0.000961967
4715,0.59468,0.00103551
4720,0.594829,0.000961847
4725,0.594754,0.000961727
4730,0.594015,0.000886699
4735,0.594162,0.00081306
4740,0.594236,0.00088703
4745,0.594015,0.000886699
4750,0.594236,0.00088703
4755,0.595199,0.000962446
4760,0.596831,0.000890903
4765,0.598542,0.000893458
4770,0.599885,0.000895462
4775,0.600558,0.000896466
4780,0.599885,0.000895462
4785,0.598393,0.00081885
4790,0.597575,0.00081773
4795,0.597723,0.000892235
4800,0.597351,0.00089168
4805,0.596905,0.000965205
4810,0.595644,0.000889131
4815,0.594754,0.000813871
4820,0.594236,0.00088703
4825,0.592906,0.000811342
4830,0.591064,0.000882295
4835,0.590035,0.000880758
4840,0.588568,0.000878568
4845,0.587396,0.000949829
4850,0.586374,0.000948175
4855,0.585134,0.000873443
4860,0.58397,0.000871705
4865,0.583025,0.000870295
4870,0.581793,0.000868455
4875,0.580852,0.000939247
4880,0.580202,0.000938195
4885,0.579913,0.000937728
4890,0.579769,0.000937495
4895,0.579552,0.00086511
4900,0.579696,0.000937378
4905,0.579841,0.000793462
4910,0.579696,0.000865326
4915,0.579696,0.000937378
4920,0.579624,0.000937261
4925,0.579624,0.0010093
4930,0.579841,0.000937611
4935,0.580057,0.000793759
4940,0.580418,0.000866404
4945,0.580635,0.000938896
4950,0.580491,0.000866512
4955,0.580274,0.000938312
4960,0.579624,0.000937261
4965,0.579191,0.000936562
4970,0.578399,0.00093528
4975,0.577248,0.000861671
4980,0.575956,0.000859742
4985,0.575813,0.00078795
4990,0.575669,0.000859314
4995,0.575813,0.000859528
5000,0.575884,0.000859635
5005,0.575956,0.00093133
5010,0.576386,0.000932026
5015,0.576889,0.000932838
5020,0.577607,0.000862208
5025,0.577967,0.000862744
5030,0.57732,0.000933535
5035,0.576386,0.00100366
5040,0.575526,0.000930634
5045,0.574309,0.000857284
5050,0.573095,0.000997927
5055,0.57224,0.00092532
5060,0.571955,0.00092486
5065,0.571741,0.000853451
5070,0.571243,0.000923709
5075,0.570604,0.000922675
5080,0.570319,0.000922216
5085,0.569965,0.000921642
5090,0.569468,0.000991611
5095,0.569256,0.000920495
5100,0.569752,0.000921298
5105,0.570533,0.00092256
5110,0.571528,0.000924169
5115,0.572097,0.000853982
5120,0.571741,0.000924514
5125,0.571243,0.000852708
5130,0.570888,0.000923134
5135,0.570533,0.000851647
5140,0.569965,0.000921642
5145,0.569185,0.000849635
5150,0.568901,0.000778493
5155,0.569256,0.000778977
5160,0.569894,0.000779851
5165,0.570888,0.000710236
5170,0.57167,0.000711209
5175,0.571314,0.000710767
5180,0.571457,0.000781989
5185,0.571884,0.000782574
5190,0.572596,0.000712361
5195,0.573309,0.000784524
5200,0.573666,0.000713693
5205,0.574023,0.000785502
5210,0.574023,0.000785502
5215,0.571884,0.000498125
5220,0.57167,0.000853345
5225,0.572453,0.000712184
5230,0.572525,0.000783451
5235,0.57224,0.000711918
5240,0.571812,0.000782476
5245,0.572382,0.000712095
5250,0.572453,0.000783353
5255,0.572596,0.000783548
5260,0.57224,0.000783061
5265,0.572026,0.000782769
5270,0.571812,0.000853557
5275,0.571457,0.000853026
5280,0.570533,0.000709794
5285,0.569681,0.000850376
5290,0.56883,0.000707677
5295,0.568335,0.000636394
5300,0.567204,0.000917178
5305,0.566216,0.000915581
5310,0.56516,0.000773373
5315,0.563474,0.000771066
5320,0.561793,0.000698922
5325,0.559699,0.000835475
5330,0.557752,0.000832568
5335,0.556572,0.000830808
5340,0.556018,0.000622602
5345,0.556711,0.000831015
5350,0.557266,0.000831843
5355,0.55685,0.000762001
5360,0.556988,0.000831429
5365,0.557058,0.000831533
5370,0.55685,0.000623533
5375,0.557613,0.000693721
5380,0.558307,0.000763996
5385,0.559003,0.000764947
5390,0.559281,0.000765328
5395,0.559072,0.000765043
5400,0.559212,0.000765233
5405,0.559351,0.000765424
5410,0.559769,0.000765996
5415,0.560117,0.000627192
5420,0.561234,0.000768001
5425,0.562073,0.000769149
5430,0.562213,0.00076934
5435,0.561653,0.000768574
5440,0.560885,0.000837245
5445,0.559699,0.0007659
5450,0.55796,0.000694153
5455,0.557752,0.000763235
5460,0.557405,0.00083205
5465,0.55685,0.000762001
5470,0.555188,0.000759728
5475,0.553808,0.000757839
5480,0.55305,0.00082555
5485,0.552087,0.000755484
5490,0.550783,0.000753699
5495,0.550372,0.000753136
5500,0.550714,0.000822064
5505,0.551332,0.00075445
5510,0.552018,0.000892622
5515,0.552156,0.000755578
5520,0.552362,0.000893178
5525,0.55195,0.000755296
5530,0.552706,0.000893734
5535,0.553188,0.000688216
5540,0.553601,0.000826373
5545,0.553739,0.000757744
5550,0.554222,0.000827299
5555,0.554774,0.000828124
5560,0.555188,0.000690705
5565,0.555465,0.000829155
5570,0.554912,0.000966265
5575,0.553877,0.000826785
5580,0.552156,0.000824215
5585,0.549824,0.000752387
5590,0.547365,0.000680972
5595,0.546208,0.000747439
5600,0.545121,0.000745952
5605,0.543766,0.000676494
5610,0.542954,0.00081048
5615,0.542346,0.000742154
5620,0.542211,0.000809371
5625,0.542143,0.000741877
5630,0.542481,0.000742339
5635,0.542886,0.000742893
5640,0.542886,0.000810379
5645,0.541941,0.0007416
5650,0.541469,0.000808263
5655,0.540459,0.000739572
5660,0.539048,0.000737641
5665,0.538042,0.000736265
5670,0.537908,0.000802948
5675,0.538377,0.000736723
5680,0.53831,0.000803548
5685,0.538243,0.00073654
5690,0.53831,0.000736631
5695,0.538847,0.000804349
5700,0.538578,0.00067004
5705,0.538779,0.00067029
5710,0.53831,0.000803548
5715,0.537908,0.000802948
5720,0.537574,0.000735623
5725,0.536972,0.00080155
5730,0.536637,0.000801051
5735,0.536237,0.000800453
5740,0.535636,0.000799557
5745,0.534903,0.000798462
5750,0.53364,0.000796576
5755,0.53271,0.000795189
5760,0.532114,0.000860437
5765,0.531518,0.000727337
5770,0.53132,0.000925183
5775,0.531055,0.000726704
5780,0.531187,0.000858938
5785,0.53132,0.000859152
5790,0.531386,0.000727156
5795,0.531187,0.000858938
5800,0.530857,0.000726432
5805,0.53132,0.000727065
5810,0.531982,0.000727971
5815,0.531982,0.000661833
5820,0.532048,0.0007942
5825,0.532777,0.000729059
5830,0.533972,0.000797072
5835,0.534637,0.00059866
5840,0.534504,0.000864301
5845,0.533773,0.000796774
5850,0.533906,0.000796973
5855,0.533773,0.000796774
5860,0.533241,0.000928529
5865,0.533042,0.000928183
5870,0.533109,0.000928298
5875,0.533042,0.00099442
5880,0.532777,0.000993924
5885,0.53218,0.000992812
5890,0.531452,0.000925414
5895,0.530593,0.000923917
5900,0.529801,0.000922538
5905,0.528878,0.000920932
5910,0.527694,0.00085329
5915,0.526513,0.000785938
5920,0.525466,0.000784374
5925,0.524616,0.000783106
5930,0.523963,0.000847257
5935,0.523311,0.000846203
5940,0.522725,0.000845255
5945,0.52201,0.000844098
5950,0.521231,0.000907616
5955,0.520842,0.000906938
5960,0.520906,0.000907051
5965,0.521361,0.000972627
5970,0.52214,0.000909199
5975,0.52266,0.000780187
5980,0.522856,0.000780478
5985,0.52227,0.000779604
5990,0.520906,0.000842314
5995,0.519353,0.000839801
6000,0.51819,0.000966712
6005,0.517417,0.00109384
6010,0.517159,0.00115753
6015,0.51703,0.00115724
6020,0.516644,0.00102802
6025,0.51613,0.000962869
6030,0.51568,0.0010261
6035,0.515295,0.00089728
6040,0.515745,0.000898062
6045,0.515937,0.000770151
6050,0.516451,0.00083511
6055,0.516516,0.000771015
6060,0.516516,0.000899405
6065,0.51613,0.00083459
6070,0.515745,0.000898062
6075,0.51568,0.000769768
6080,0.516773,0.000899853
6085,0.517803,0.000837296
6090,0.517868,0.000966111
6095,0.517739,0.000901535
6100,0.517352,0.0010937
6105,0.516966,0.0011571
6110,0.516644,0.0010922
6115,0.516194,0.00102712
6120,0.515488,0.00102572
6125,0.514847,0.000960475
6130,0.514334,0.00102342
6135,0.514206,0.00102317
6140,0.514526,0.0010238
6145,0.515103,0.000960953
6150,0.515809,0.00096227
6155,0.51658,0.000899517
6160,0.517288,0.000965029
6165,0.51761,0.00096563
6170,0.517223,0.00102917
6175,0.516194,0.000962989
6180,0.514654,0.000960116
6185,0.513247,0.000893713
6190,0.512353,0.000892157
6195,0.511843,0.000827658
6200,0.511843,0.000891269
6205,0.511588,0.000890825
6210,0.510761,0.000952853
6215,0.509745,0.000950957
6220,0.508794,0.000885959
6225,0.508351,0.000822011
6230,0.50854,0.000885518
6235,0.50911,0.000886511
6240,0.509745,0.000950957
6245,0.510316,0.00101543
6250,0.510761,0.00101631
6255,0.511015,0.000953327
6260,0.510952,0.000953209
6265,0.51057,0.000952497
6270,0.509808,0.00101442
6275,0.508857,0.000949301
6280,0.507528,0.000946822
6285,0.506266,0.000881558
6290,0.505133,0.000879585
6295,0.504065,0.000877726
6300,0.503125,0.000938608
6305,0.502186,0.000936857
6310,0.501312,0.000935225
6315,0.500501,0.000933713
6320,0.499816,0.000870327
6325,0.49907,0.000807005
6330,0.499257,0.000869352
6335,0.499381,0.000869569
6340,0.499505,0.000931855
6345,0.499381,0.000931623
6350,0.49907,0.000993051
6355,0.498574,0.000930117
6360,0.498512,0.000930001
6365,0.49876,0.000930464
6370,0.499443,0.000993793
6375,0.500003,0.000932783
6380,0.500128,0.000933016
6385,0.500065,0.0009329
6390,0.499816,0.000932435
6395,0.499133,0.000931159
6400,0.497891,0.000866975
6405,0.496839,0.00092688
6410,0.495357,0.000862561
6415,0.494679,0.000861381
6420,0.49474,0.000861488
6425,0.49474,0.000922965
6430,0.494925,0.00092331
6435,0.49474,0.000922965
6440,0.494248,0.000922047
6445,0.493694,0.000921014
6450,0.493019,0.000919754
6455,0.492712,0.000919182
6460,0.492835,0.00091941
6465,0.492773,0.000919296
6470,0.492528,0.000918838
6475,0.492344,0.000918495
6480,0.49216,0.000979302
6485,0.491854,0.000917581
6490,0.491426,0.000916782
6495,0.490509,0.000915072
6500,0.489533,0.000913251
6505,0.489167,0.000912569
6510,0.489046,0.000912342
6515,0.489046,0.000790794
6520,0.489107,0.000851678
6525,0.489228,0.00079109
6530,0.489046,0.000851572
6535,0.488863,0.000790499
6540,0.488681,0.000850936
6545,0.48862,0.00085083
6550,0.488376,0.000911093
6555,0.488073,0.000910526
6560,0.487769,0.000970563
6565,0.487283,0.000909054
6570,0.486617,0.00090781
6575,0.486253,0.000786279
6580,0.486435,0.000847026
6585,0.486859,0.000847764
6590,0.487283,0.000787945
6595,0.487526,0.000727741
6600,0.487344,0.000788043
6605,0.48692,0.000787356
6610,0.487101,0.000908714
6615,0.487162,0.000908828
6620,0.48692,0.000908375
6625,0.48698,0.000908488
6630,0.486738,0.000847553
6635,0.486011,0.00072548
6640,0.484803,0.000723676
6645,0.484561,0.000783543
6650,0.484561,0.000783543
6655,0.48426,0.000783056
6660,0.483477,0.000781789
6665,0.482875,0.000840827
6670,0.482154,0.000899486
6675,0.481135,0.000837797
6680,0.480357,0.000776745
6685,0.480656,0.000896691
6690,0.480656,0.00101612
6695,0.480297,0.000955696
6700,0.480238,0.000955577
6705,0.480656,0.00107583
6710,0.480836,0.00113595
6715,0.480656,0.00107583
6720,0.480178,0.000955458
6725,0.480238,0.00107489
6730,0.479879,0.00107409
6735,0.479342,0.00101334
6740,0.478626,0.000952371
6745,0.477852,0.00089146
6750,0.477317,0.000831149
6755,0.476961,0.000830528
6760,0.476427,0.000711173
6765,0.477258,0.000831045
6770,0.477495,0.000831459
6775,0.477258,0.000771733
6780,0.476723,0.000711616
6785,0.476367,0.000829495
6790,0.475715,0.00082836
6795,0.474887,0.000826918
6800,0.47406,0.000766563
6805,0.473411,0.000706672
6810,0.47294,0.000705969
6815,0.47406,0.000766563
6820,0.474592,0.000826403
6825,0.474592,0.000826403
6830,0.474533,0.000767327
6835,0.474178,0.000707817
6840,0.474473,0.000767231
6845,0.474119,0.000766658
6850,0.47347,0.000647904
6855,0.473294,0.000706496
6860,0.472881,0.000764657
6865,0.472646,0.000764276
6870,0.472881,0.000823425
6875,0.473117,0.000823835
6880,0.47294,0.000764752
6885,0.472234,0.000704915
